date,time,latitude,longtitude,speed
140318,160334.000,37.545685,-122.275311667,0.52
140318,160341.000,37.5456583333,-122.275388333,0.11
140318,160348.000,37.54565,-122.275335,0.48
140318,160355.000,37.5456483333,-122.275306667,0.57
140318,160402.000,37.5456616667,-122.275273333,0.47
140318,160409.000,37.5456683333,-122.275278333,0.30
140318,160416.000,37.545665,-122.275278333,0.26
140318,160423.000,37.5456566667,-122.275276667,0.44
140318,160430.000,37.545585,-122.275283333,0.78
140318,160437.000,37.5455733333,-122.275276667,0.69
140318,160444.000,37.5455683333,-122.27528,0.51
140318,160451.000,37.5456033333,-122.2753,0.44
140318,160458.000,37.5456333333,-122.275316667,0.39
140318,160505.000,37.5456966667,-122.275358333,0.30
140318,160512.000,37.5456916667,-122.275338333,0.56
140318,160519.000,37.54573,-122.275345,0.15
140318,160526.000,37.5457316667,-122.275351667,0.19
140318,160533.000,37.545725,-122.275355,0.21
140318,160540.000,37.5457116667,-122.275353333,0.30
140318,160547.000,37.545715,-122.275358333,0.26
140318,160554.000,37.5457133333,-122.27536,0.63
140318,160601.000,37.5456983333,-122.275365,0.63
140318,160608.000,37.5456966667,-122.275365,0.24
140318,160615.000,37.545695,-122.275371667,0.32
140318,160623.000,37.5457133333,-122.275351667,0.50
140318,160630.000,37.5457116667,-122.27535,0.14
140318,160637.000,37.5457133333,-122.27535,0.58
140318,160644.000,37.5457183333,-122.27534,0.22
140318,160651.000,37.54572,-122.275341667,0.47
140318,160658.000,37.5457166667,-122.275348333,0.22
140318,160705.000,37.5457166667,-122.275353333,0.13
140318,160712.000,37.5457133333,-122.275353333,0.12
140318,160719.000,37.5457133333,-122.275345,0.22
140318,160726.000,37.545715,-122.275341667,0.20
140318,160733.000,37.5457166667,-122.275331667,0.15
140318,160740.000,37.545715,-122.275336667,0.71
140318,160747.000,37.5457166667,-122.275341667,0.47
140318,160754.000,37.545725,-122.275355,0.15
140318,160801.000,37.5457283333,-122.27536,0.13
140318,160808.000,37.54573,-122.275358333,0.09
140318,160815.000,37.5457316667,-122.275355,0.22
140318,160823.000,37.5457316667,-122.275348333,0.06
140318,160830.000,37.545735,-122.275353333,0.08
140318,160837.000,37.545735,-122.275358333,0.12
140318,160844.000,37.5457383333,-122.275356667,0.13
140318,160851.000,37.5457416667,-122.275358333,0.10
140318,160858.000,37.545745,-122.27536,0.08
140318,160905.000,37.5457466667,-122.275363333,0.15
140318,160912.000,37.54575,-122.27536,0.10
140318,160919.000,37.5457566667,-122.275365,0.33
140318,160926.000,37.5457616667,-122.275371667,0.12
140318,160933.000,37.5457633333,-122.27537,0.21
140318,160940.000,37.5457666667,-122.275371667,0.13
140318,160947.000,37.545775,-122.27537,0.49
140318,160959.000,37.54573,-122.275473333,1.26
140318,161006.000,37.54565,-122.275515,1.60
140318,161013.000,37.5456416667,-122.275511667,0.18
140318,161020.000,37.5456333333,-122.275506667,0.07
140318,161027.000,37.5456283333,-122.275531667,1.42
140318,161034.000,37.5456516667,-122.275578333,0.88
140318,161041.000,37.5456516667,-122.275575,0.03
140318,161048.000,37.5456516667,-122.27559,0.09
140318,161055.000,37.54565,-122.275596667,0.35
140318,161102.000,37.5456466667,-122.275605,0.40
140318,161109.000,37.5456366667,-122.2756,0.37
140318,161116.000,37.54564,-122.275635,5.37
140318,161123.000,37.5457916667,-122.275996667,7.05
140318,161130.000,37.5460616667,-122.276008333,13.22
140318,161137.000,37.5466516667,-122.275606667,22.37
140318,161144.000,37.5474816667,-122.275245,25.84
140318,161151.000,37.54834,-122.275383333,27.31
140318,161158.000,37.5490816667,-122.276171667,30.27
140318,161205.000,37.5496483333,-122.277138333,29.19
140318,161212.000,37.5501733333,-122.278045,26.55
140318,161219.000,37.5507316667,-122.278815,24.81
140318,161226.000,37.55137,-122.279031667,17.85
140318,161233.000,37.5516033333,-122.279033333,7.19
140318,161240.000,37.5517916667,-122.279716667,22.39
140318,161247.000,37.5520866667,-122.280256667,10.84
140318,161254.000,37.5520716667,-122.280201667,0.04
140318,161301.000,37.5520766667,-122.280188333,0.06
140318,161308.000,37.5520683333,-122.280178333,0.00
140318,161315.000,37.5520666667,-122.280173333,0.00
140318,161322.000,37.5520666667,-122.280173333,0.00
140318,161329.000,37.5520666667,-122.280173333,0.00
140318,161336.000,37.5520666667,-122.280173333,0.00
140318,161343.000,37.5520883333,-122.280205,5.85
140318,161350.000,37.5520016667,-122.280723333,18.70
140318,161357.000,37.55126,-122.281458333,29.90
140318,161404.000,37.5503666667,-122.282286667,33.14
140318,161411.000,37.5494783333,-122.283125,33.92
140318,161418.000,37.5484583333,-122.283656667,33.54
140318,161425.000,37.54764,-122.28397,17.19
140318,161432.000,37.5475583333,-122.283971667,0.04
140318,161439.000,37.5475566667,-122.283968333,0.02
140318,161446.000,37.54755,-122.283968333,0.04
140318,161453.000,37.5475433333,-122.283963333,0.00
140318,161500.000,37.5475416667,-122.283966667,0.00
140318,161507.000,37.5475433333,-122.283968333,0.19
140318,161514.000,37.5475466667,-122.28397,0.00
140318,161521.000,37.5475466667,-122.28397,0.17
140318,161528.000,37.5475566667,-122.283973333,0.00
140318,161535.000,37.5475566667,-122.283971667,0.00
140318,161542.000,37.5475583333,-122.283973333,0.19
140318,161549.000,37.547515,-122.284003333,8.34
140318,161556.000,37.5470416667,-122.28426,14.66
140318,161603.000,37.54658,-122.284793333,22.29
140318,161610.000,37.546135,-122.285565,21.84
140318,161617.000,37.5456983333,-122.28627,20.21
140318,161624.000,37.5452366667,-122.287028333,24.82
140318,161631.000,37.5448566667,-122.287658333,14.88
140318,161638.000,37.5447133333,-122.287873333,2.67
