time,Tempature,Barometric_Pressure,Humidity,Gas,Altitude
155956, 21.75,30.06,48.08,0.00,"82.64"
160003, 21.84,30.06,46.79,4.05,"82.64"
160000, 21.96,30.06,45.81,5.26,"82.64"
160007, 22.02,30.06,45.27,6.55,"82.64"
160005, 22.04,30.06,44.99,8.02,"82.97"
160002, 22.05,30.06,44.73,9.57,"82.64"
160009, 22.05,30.06,44.73,11.16,"82.97"
160006, 22.04,30.06,44.88,12.70,"82.80"
160003, 22.03,30.06,45.04,14.22,"82.97"
160100, 22.02,30.06,45.10,15.79,"82.80"
160107, 22.01,30.06,45.15,17.29,"82.80"
160104, 22.01,30.06,45.06,18.73,"82.80"
160101, 22.00,30.06,44.92,20.26,"82.64"
160108, 21.99,30.06,44.74,21.77,"82.80"
160105, 21.99,30.06,44.61,23.10,"82.80"
160102, 21.98,30.06,44.57,24.58,"82.64"
160109, 21.98,30.06,44.48,25.97,"82.64"
160106, 21.98,30.06,44.39,27.25,"82.47"
160203, 21.97,30.06,44.33,28.61,"82.64"
160200, 21.96,30.06,44.28,29.80,"82.47"
160207, 21.95,30.06,44.31,31.03,"82.64"
160204, 21.94,30.06,44.31,32.11,"82.47"
160201, 21.92,30.06,44.38,33.25,"82.47"
160208, 21.90,30.06,44.45,34.28,"82.64"
160205, 21.89,30.06,44.48,35.13,"82.47"
160203, 21.89,30.06,44.75,35.79,"82.47"
160300, 21.90,30.06,45.67,36.25,"82.14"
160307, 21.91,30.06,45.52,37.44,"82.30"
160304, 21.93,30.06,45.15,38.53,"82.14"
160301, 21.95,30.06,44.85,39.36,"82.30"
160308, 21.98,30.06,44.67,40.41,"82.30"
160305, 22.01,30.06,44.56,41.28,"82.47"
160302, 22.04,30.06,44.51,41.98,"82.14"
160309, 22.07,30.06,44.60,42.70,"82.30"
160306, 22.10,30.06,44.49,43.54,"82.30"
160403, 22.14,30.06,44.29,44.31,"82.14"
160400, 22.17,30.06,44.17,45.07,"82.47"
160407, 22.20,30.06,44.12,45.75,"82.14"
160404, 22.22,30.06,44.06,46.46,"82.30"
160401, 22.24,30.06,43.99,47.08,"82.30"
160408, 22.26,30.06,44.65,47.08,"82.30"
160405, 22.28,30.06,44.92,47.50,"82.30"
160402, 22.30,30.06,44.69,48.29,"82.30"
160409, 22.32,30.06,44.35,48.74,"82.30"
160506, 22.34,30.06,44.09,49.51,"82.14"
160503, 22.35,30.06,44.08,49.69,"82.30"
160500, 22.37,30.06,44.21,50.46,"82.30"
160507, 22.38,30.06,44.35,50.55,"82.14"
160504, 22.39,30.06,44.35,51.10,"82.30"
160501, 22.40,30.06,44.41,51.60,"82.30"
160508, 22.40,30.06,44.44,51.82,"82.14"
160505, 22.41,30.06,44.35,52.43,"82.14"
160602, 22.42,30.06,44.29,52.63,"81.97"
160609, 22.44,30.06,44.31,52.63,"81.97"
160606, 22.44,30.06,44.21,52.93,"81.97"
160603, 22.44,30.06,44.21,53.26,"81.81"
160600, 22.44,30.06,44.19,53.56,"81.64"
160607, 22.45,30.06,44.19,53.70,"81.81"
160604, 22.45,30.06,44.22,53.98,"81.64"
160601, 22.46,30.07,44.93,53.91,"81.64"
160608, 22.48,30.07,44.88,54.39,"80.90"
160705, 22.49,30.07,44.70,54.82,"81.64"
160702, 22.50,30.07,44.62,55.14,"80.73"
160709, 22.50,30.07,44.58,55.76,"81.64"
160706, 22.50,30.07,44.56,56.24,"81.64"
160703, 22.49,30.07,44.59,56.70,"81.64"
160700, 22.49,30.07,44.45,57.12,"80.73"
160707, 22.50,30.07,44.50,57.51,"80.73"
160704, 22.50,30.07,44.74,57.47,"80.73"
160801, 22.49,30.07,44.48,58.02,"81.64"
160808, 22.47,30.07,44.10,58.67,"81.64"
