Date,Time,Latitude,Longtitude,Speed,Tempature,Barometric_Pressure,Humidity,Gas,Altitude
160318,164255,37.5456833333,-122.27534,0.38, 20.98,29.95,49.46,64.40,114.70
160318,164302,37.545675,-122.275255,0.33, 20.98,29.95,49.50,65.19,114.53
160318,164309,37.5456566667,-122.275273333,0.21, 20.98,29.95,49.59,65.25,114.53
160318,164316,37.5456433333,-122.275293333,0.69, 20.98,29.95,49.65,65.40,114.36
160318,164323,37.5456183333,-122.275345,0.20, 20.97,29.95,49.67,65.25,114.53
160318,164330,37.5456216667,-122.275346667,0.19, 20.96,29.95,49.65,65.35,114.36
160318,164337,37.5456233333,-122.275356667,0.24, 20.96,29.95,49.63,65.40,114.36
160318,164344,37.5456183333,-122.275358333,0.40, 20.95,29.95,49.57,65.55,114.36
160318,164351,37.5455983333,-122.275383333,0.29, 20.95,29.95,49.52,65.91,114.53
160318,164358,37.5455883333,-122.275391667,0.30, 20.95,29.95,49.46,66.27,114.20
160318,164405,37.5455783333,-122.275398333,0.28, 20.95,29.95,49.42,66.53,114.20
160318,164412,37.54557,-122.275398333,0.25, 20.96,29.95,49.47,66.37,114.20
160318,164419,37.5455683333,-122.2754,0.31, 20.96,29.95,49.51,66.27,114.03
160318,164426,37.5455633333,-122.275396667,0.21, 20.96,29.95,49.54,67.22,114.03
160318,164433,37.5455666667,-122.275395,0.19, 20.95,29.95,49.53,67.22,113.87
160318,164440,37.5455716667,-122.275386667,0.64, 20.95,29.95,49.50,67.54,114.03
160318,164447,37.5455783333,-122.27539,0.27, 20.94,29.95,49.50,67.82,113.87
160318,164455,37.5455816667,-122.275395,0.17, 20.92,29.95,49.61,67.60,113.87
160318,164502,37.5455766667,-122.275395,0.57, 20.91,29.95,49.65,67.92,113.87
160318,164509,37.54557,-122.2754,0.31, 20.89,29.95,49.76,68.14,113.70
160318,164516,37.5455916667,-122.2754,0.33, 20.88,29.95,50.05,68.25,114.03
160318,164523,37.5455916667,-122.275403333,0.21, 20.87,29.95,50.16,67.65,114.03
160318,164530,37.5456133333,-122.275448333,0.27, 20.86,29.95,50.12,68.09,113.87
160318,164537,37.545625,-122.27545,0.17, 20.86,29.95,50.06,68.09,113.87
160318,164544,37.5456333333,-122.275461667,0.22, 20.86,29.95,50.00,68.47,113.87
160318,164551,37.5456283333,-122.275465,0.43, 20.87,29.95,49.98,68.92,114.03
160318,164558,37.54563,-122.275445,0.15, 20.87,29.95,50.03,69.04,113.87
160318,164605,37.5456266667,-122.275448333,0.29, 20.87,29.95,50.05,69.38,113.87
160318,164612,37.5456283333,-122.275455,0.27, 20.87,29.95,49.99,69.43,113.87
160318,164619,37.5456283333,-122.275461667,0.38, 20.87,29.95,49.97,69.83,113.70
160318,164626,37.5456183333,-122.27545,0.47, 20.87,29.95,50.04,69.66,113.87
160318,164633,37.545625,-122.275445,0.29, 20.87,29.95,50.10,70.01,113.70
160318,164640,37.5456116667,-122.275436667,0.38, 20.87,29.95,50.05,70.30,113.87
160318,164647,37.54561,-122.275443333,0.42, 20.87,29.95,50.03,70.01,113.87
160318,164654,37.5456166667,-122.275448333,0.52, 20.87,29.95,50.11,70.24,113.87
160318,164701,37.5456083333,-122.27545,0.61, 20.87,29.95,50.18,70.42,113.87
160318,164708,37.54557,-122.275435,1.04, 20.87,29.95,50.24,70.95,113.87
160318,164715,37.5455683333,-122.275438333,0.40, 20.87,29.95,50.32,70.83,113.87
160318,164722,37.545575,-122.275448333,0.45, 20.86,29.95,50.36,71.07,113.70
160318,164729,37.5455916667,-122.275436667,0.56, 20.85,29.95,50.40,71.07,113.70
160318,164736,37.5455966667,-122.275428333,0.69, 20.83,29.95,50.40,71.31,113.53
160318,164743,37.5455933333,-122.275418333,0.09, 20.81,29.95,50.44,71.61,113.70
160318,164750,37.5455966667,-122.275418333,0.54, 20.79,29.95,50.52,71.67,113.37
160318,164757,37.5456066667,-122.275411667,1.05, 20.77,29.95,50.58,71.55,113.53
160318,164804,37.5456066667,-122.275391667,0.35, 20.76,29.95,50.57,72.17,113.37
160318,164811,37.5456083333,-122.275385,0.31, 20.76,29.95,50.60,72.17,113.37
160318,164818,37.5456183333,-122.275376667,0.25, 20.76,29.95,50.63,72.10,113.37
160318,164825,37.5456,-122.275391667,0.26, 20.77,29.95,50.74,72.17,113.37
160318,164833,37.5456033333,-122.275401667,0.55, 20.77,29.95,50.66,72.04,113.53
160318,164840,37.5456166667,-122.2754,0.30, 20.78,29.95,50.62,72.23,113.37
160318,164847,37.545615,-122.275401667,0.96, 20.79,29.95,50.74,71.92,113.53
160318,164854,37.5455866667,-122.275435,0.61, 20.80,29.95,50.98,71.31,113.53
160318,164901,37.545575,-122.275451667,0.57, 20.82,29.95,51.02,71.13,113.53
160318,164908,37.545545,-122.27549,1.02, 20.84,29.95,50.98,71.01,113.53
160318,164915,37.545525,-122.275516667,0.50, 20.85,29.95,50.85,71.55,113.53
160318,164922,37.545525,-122.275506667,0.76, 20.86,29.95,50.70,71.67,113.53
160318,164929,37.5455233333,-122.275498333,0.51, 20.87,29.95,50.61,71.25,113.53
160318,164936,37.5455266667,-122.2755,0.40, 20.87,29.95,50.74,70.42,113.20
160318,164943,37.5455283333,-122.275495,0.36, 20.88,29.95,50.94,70.48,113.37
160318,164950,37.5455266667,-122.275491667,0.33, 20.90,29.95,51.03,70.65,113.37
160318,164957,37.5455283333,-122.275486667,0.24, 20.91,29.95,51.20,70.30,113.37
160318,165004,37.5455333333,-122.275488333,0.61, 20.93,29.95,51.10,70.07,113.37
160318,165011,37.54555,-122.275465,0.06, 20.95,29.95,51.38,70.18,113.37
160318,165018,37.5455566667,-122.275461667,0.75, 20.97,29.95,51.42,70.12,113.53
160318,165025,37.5455816667,-122.275433333,0.18, 20.99,29.95,51.37,70.01,113.53
160318,165032,37.5455783333,-122.27543,0.21, 21.01,29.95,51.18,70.48,113.37
160318,165039,37.5455933333,-122.275411667,0.34, 21.04,29.95,50.99,70.65,113.20
160318,165046,37.5456133333,-122.275383333,0.52, 21.06,29.95,50.92,70.95,113.37
160318,165053,37.5456266667,-122.275383333,0.28, 21.09,29.95,50.93,70.89,113.53
160318,165100,37.5456283333,-122.275383333,0.30, 21.11,29.95,51.03,70.83,113.53
160318,165107,37.5456283333,-122.275388333,0.16, 21.13,29.95,51.04,70.71,113.53
160318,165114,37.5456033333,-122.275401667,1.17, 21.15,29.95,50.99,71.31,113.53
160318,165121,37.5455766667,-122.275436667,0.24, 21.17,29.95,51.03,70.95,113.37
160318,165128,37.5455466667,-122.275466667,0.54, 21.23,29.95,51.49,70.48,113.53
160318,165135,37.5455616667,-122.27547,0.60, 21.32,29.95,52.44,69.89,113.20
160318,165142,37.5455733333,-122.275458333,0.12, 21.40,29.95,52.39,69.43,113.37
160318,165149,37.5455833333,-122.275453333,0.12, 21.45,29.95,51.99,69.66,113.37
160318,165156,37.5455833333,-122.275451667,0.37, 21.49,29.95,51.81,69.43,113.37
160318,165157,37.545585,-122.27545,0.45, 21.52,29.95,51.81,68.70,113.37
160318,165211,37.5456166667,-122.275433333,0.06, 21.55,29.95,51.85,68.98,113.53
160318,165218,37.545625,-122.275415,0.12, 21.58,29.95,51.85,69.04,113.53
160318,165225,37.5456266667,-122.275418333,0.27, 21.61,29.95,51.71,69.21,113.37
160318,165232,37.5456216667,-122.275426667,0.17, 21.64,29.95,51.73,69.38,113.53
160318,165239,37.54562,-122.275433333,0.31, 21.67,29.95,51.73,69.32,113.20
160318,165246,37.545625,-122.275436667,0.03, 21.71,29.95,51.75,69.55,113.53
160318,165307,37.5456116667,-122.27542,0.29, 21.80,29.95,51.96,69.04,113.70
160318,165314,37.5456066667,-122.275406667,0.31, 21.83,29.95,51.84,68.98,113.70
160318,165321,37.545605,-122.275401667,0.53, 21.87,29.95,51.78,68.70,113.70
160318,165328,37.5456083333,-122.275403333,0.48, 21.90,29.95,51.54,68.87,113.87
160318,165335,37.5456083333,-122.275395,0.53, 21.93,29.95,51.24,69.21,113.87
160318,165342,37.5456133333,-122.275405,0.66, 21.95,29.95,51.06,69.15,113.87
160318,165349,37.54562,-122.275403333,0.03, 21.98,29.95,50.94,69.15,113.20
160318,165356,37.5456216667,-122.275405,0.08, 22.01,29.95,50.91,69.32,113.04
160318,165403,37.5456283333,-122.275408333,0.28, 22.04,29.95,50.98,69.38,112.54
160318,165410,37.5456333333,-122.275406667,0.19, 22.07,29.95,51.01,69.38,112.54
160318,165417,37.5456383333,-122.275408333,0.19, 22.10,29.95,50.98,69.26,112.54
160318,165424,37.54564,-122.275405,0.49, 22.13,29.95,50.74,69.61,113.04
160318,165431,37.54567,-122.275415,0.16, 22.16,29.95,50.16,69.83,113.20
160318,165438,37.5456733333,-122.275415,0.47, 22.19,29.95,49.75,70.42,113.20
160318,165445,37.5456716667,-122.275425,0.43, 22.21,29.95,49.43,70.95,113.20
160318,165452,37.545675,-122.27542,0.09, 22.23,29.95,49.30,70.95,113.20
160318,165459,37.5456666667,-122.27541,0.34, 22.26,29.95,49.18,71.07,113.04
160318,165507,37.545665,-122.275403333,0.12, 22.28,29.95,49.00,70.60,113.20
160318,165514,37.5456666667,-122.2754,0.22, 22.29,29.95,48.37,71.49,113.20
160318,165521,37.5456566667,-122.275398333,0.16, 22.30,29.95,47.64,72.41,113.04
160318,165528,37.545655,-122.275398333,0.21, 22.30,29.95,47.79,72.29,112.87
160318,165535,37.5456516667,-122.275395,0.11, 22.32,29.95,47.98,72.17,112.87
160318,165542,37.5456466667,-122.275391667,0.35, 22.32,29.95,47.60,73.17,112.70
160318,165549,37.54564,-122.275381667,0.32, 22.25,29.95,45.95,75.19,112.87
160318,165556,37.5456366667,-122.275376667,0.07, 22.11,29.95,44.69,76.83,112.87
160318,165603,37.5456333333,-122.275376667,0.34, 21.94,29.95,43.64,78.91,113.04
160318,165610,37.5456216667,-122.275375,0.35, 21.79,29.95,43.33,79.06,113.04
160318,165617,37.5456316667,-122.275386667,0.32, 21.65,29.95,44.63,78.55,112.54
160318,165624,37.5456333333,-122.275388333,0.47, 21.51,29.96,45.17,79.51,112.21
160318,165631,37.54566,-122.275355,1.34, 21.37,29.96,43.75,80.88,112.21
160318,165638,37.5457416667,-122.2753,0.15, 21.25,29.96,44.26,81.19,112.04
160318,165645,37.5457066667,-122.275301667,0.19, 21.15,29.96,44.98,80.50,112.04
160318,165652,37.5456883333,-122.275311667,0.15, 21.08,29.96,45.87,79.66,112.04
160318,165659,37.5456816667,-122.275308333,0.11, 21.03,29.96,46.05,79.81,111.71
160318,165706,37.5456933333,-122.275303333,0.16, 21.00,29.96,45.11,81.27,111.88
160318,165713,37.5456583333,-122.275316667,0.23, 20.98,29.96,44.29,82.14,112.04
160318,165720,37.5456516667,-122.275315,0.12, 20.96,29.96,44.33,82.30,112.04
160318,165727,37.5456516667,-122.275321667,0.11, 20.93,29.96,44.05,83.61,111.71
160318,165734,37.54566,-122.275316667,0.35, 20.90,29.96,43.58,84.02,111.88
160318,165741,37.5456683333,-122.275303333,0.34, 20.87,29.96,42.98,85.38,112.04
160318,165748,37.545675,-122.275296667,0.36, 20.83,29.96,42.42,86.17,112.04
160318,165755,37.5456816667,-122.275285,0.40, 20.78,29.96,42.20,86.97,112.04
160318,165803,37.5456883333,-122.275268333,0.35, 20.74,29.96,42.03,86.88,112.21
160318,165810,37.5456966667,-122.275256667,0.28, 20.69,29.96,41.72,87.42,112.04
160318,165817,37.5456983333,-122.275253333,0.32, 20.64,29.96,41.66,88.52,112.04
160318,165824,37.5457016667,-122.27524,0.36, 20.60,29.96,41.58,88.89,111.88
160318,165831,37.54571,-122.27523,0.31, 20.55,29.95,41.39,89.27,112.04
160318,165838,37.5457183333,-122.275215,0.23, 20.50,29.96,41.15,90.61,112.04
160318,165845,37.54572,-122.27521,0.23, 20.46,29.96,40.96,91.20,111.88
160318,165852,37.5457083333,-122.27521,0.15, 20.41,29.96,40.77,92.09,112.04
160318,165859,37.5457066667,-122.275205,0.29, 20.36,29.96,40.62,92.19,112.21
160318,165906,37.545695,-122.27522,0.10, 20.30,29.96,40.46,92.50,112.04
160318,165913,37.5456933333,-122.275221667,0.30, 20.25,29.95,40.36,93.42,112.21
160318,165920,37.5456983333,-122.275226667,0.25, 20.20,29.95,40.30,94.78,112.04
160318,165927,37.5456983333,-122.275235,0.16, 20.15,29.96,40.28,95.10,112.37
160318,165934,37.5457,-122.275246667,0.17, 20.10,29.95,40.22,95.32,112.37
160318,165941,37.5457,-122.275253333,0.18, 20.05,29.95,40.18,94.33,112.21
160318,165948,37.5456966667,-122.27525,0.05, 20.01,29.96,40.15,94.17,112.37
160318,165955,37.545695,-122.275246667,0.15, 19.96,29.96,40.15,95.45,112.21
160318,170002,37.5456916667,-122.27525,0.19, 19.91,29.95,40.16,95.83,112.37
160318,170009,37.5456766667,-122.275251667,0.09, 19.86,29.96,40.13,95.45,112.04
160318,170105,37.5456633333,-122.275311667,0.73, 19.50,29.96,40.17,99.03,112.21
160318,170201,37.54866,-122.275633333,22.82, 19.23,29.95,42.89,95.66,113.20
160318,170208,37.54914,-122.276341667,23.57, 19.20,29.95,42.93,95.88,113.20
160318,170304,37.552495,-122.275466667,30.38, 18.99,29.95,43.54,95.66,113.37
160318,170400,37.55531,-122.280785,13.84, 18.78,29.95,43.32,98.45,112.37
160318,170407,37.555245,-122.28116,8.68, 18.75,29.96,43.05,99.38,112.21
160318,170503,37.56227,-122.27534,55.72, 18.57,29.94,44.14,98.34,116.11
160318,170600,37.5735233333,-122.262483333,51.85, 18.45,29.93,44.44,98.00,120.01
160318,170607,37.5747766667,-122.261116667,52.21, 18.44,29.92,44.40,98.68,124.82
160318,170703,37.584235,-122.250768333,52.37, 18.27,29.78,42.85,104.49,162.26
